ID,Condition,Trial ,justice,age,participantgender,gender,race,year
41,3,14,10,22,1,1,1,4
41,3,15,9,22,1,1,1,4
41,3,16,9,22,1,1,1,4
41,3,17,10,22,1,1,1,4
41,3,18,2,22,1,1,1,4
41,3,19,7,22,1,1,1,4
42,2,1,8,24,1,1,1,1
42,2,2,9,24,1,1,1,1
42,2,3,9,24,1,1,1,1
42,2,4,9,24,1,1,1,1
42,2,5,9,24,1,1,1,1
42,2,6,9,24,1,1,1,1
42,2,7,9,24,1,1,1,1
42,2,8,3,24,1,1,1,1
42,2,9,2,24,1,1,1,1
42,2,10,2,24,1,1,1,1
42,2,11,2,24,1,1,1,1
42,2,12,4,24,1,1,1,1
42,2,13,5,24,1,1,1,1
42,2,14,5,24,1,1,1,1
42,2,15,5,24,1,1,1,1
42,2,16,5,24,1,1,1,1
42,2,17,5,24,1,1,1,1
42,2,18,5,24,1,1,1,1
42,2,19,8,24,1,1,1,1
43,3,1,7,19,1,1,1,1
43,3,2,10,19,1,1,1,1
43,3,3,8,19,1,1,1,1
43,3,4,8,19,1,1,1,1
43,3,5,8,19,1,1,1,1
43,3,6,8,19,1,1,1,1
43,3,7,4,19,1,1,1,1
43,3,8,4,19,1,1,1,1
